0099,0099,0099
0940,1209,0012
0697,1211,0099
0702,1337,0001
0850,1484,0010
0854,1623,0011
0944,1206,0012
0700,1337,0001
0850,1203,0008
0706,1210,0099
0853,1338,0009
0779,1199,0004
0948,1208,0012
0851,1209,0008
0708,1485,0002
0702,1207,0099
0703,1336,0001
0702,1204,0099
0705,1336,0001
0852,1482,0010
0855,1623,0011
0944,1209,0012
0704,1487,0002
0951,1335,0013
0849,1482,0010
0852,1200,0008
0947,1629,0015
0698,1208,0099
0778,1331,0005
0951,1628,0015
0697,1207,0099
0703,1337,0001
0701,1204,0099
0705,1334,0001
0853,1481,0010
0855,1623,0011
0945,1206,0012
0699,1631,0003
0777,1203,0004
0776,1212,0004
0777,1486,0006
0781,1338,0005
0780,1485,0006
0783,1334,0005
0777,1631,0007
0860,1489,0010
0711,1482,0002
0705,1210,0099
0775,1486,0006
0953,1485,0014
0698,1486,0002
0852,1203,0008
0855,1335,0009
0705,1205,0099
0701,1336,0001
0700,1204,0099
0704,1339,0001
0851,1483,0010
0855,1622,0011
0946,1204,0012
0777,1208,0004
0776,1629,0007
0781,1337,0005
0780,1629,0007
0780,1199,0004
0780,1629,0007
0700,1633,0003
0949,1210,0012
0856,1485,0010
0857,1485,0010
0707,1206,0099
0701,1336,0001
0000,0000,0099
0000,0000,0099
0000,0000,0099
0000,0000,0099
0000,0000,0099
0000,0000,0099
# Baudrate was 50
